ward,year,streets,lighting,parks,schools,cameras,misc,arts,trees,other,libraries
1,2012,451883,161961,605000,100155,0,0,0,0,0,0
1,2013,719642,1550,450000,23808,0,125000,0,0,0,0
1,2014,939539,5460,350000,25000,0,0,0,0,0,0
1,2015,590760,194240,535000,0,0,0,0,0,0,0
1,2016,1257477.99,8500,0,0,54022,0,0,0,0,0
1,2017,1138100.3,64888,0,9300,0,0,20000,50000,37711,0
1,2018,698099.99,0,150000,470100,1800,0,0,0,0,0
2,2012,867896,451500,0,0,0,0,0,0,0,0
2,2013,989909,311250,0,0,0,18841,0,0,0,0
2,2014,1187904,124600,0,0,0,0,0,0,0,0
2,2015,1141967,175000,0,0,0,0,0,0,0,0
2,2016,1232316.95,6650,0,0,81033,0,0,0,0,0
2,2017,1002004.97,280350,0,0,27011,0,10000,0,634,0
2,2018,1200843.71,38123.28,0,0,81033,0,0,0,0,0
3,2012,1127132,189327,0,0,0,0,0,0,0,0
3,2013,904187,381812,34000,0,0,0,0,0,0,0
3,2014,757838,551650,0,0,0,10000,0,0,0,0
3,2015,827402,492598,0,0,0,0,0,0,0,0
3,2016,1273790.33,46209.24,0,0,0,0,0,0,0,0
3,2017,908966.99,320000,0,0,81033,0,10000,0,0,0
3,2018,1130436.2,162040,0,0,27011,0,0,0,0,0
4,2012,1160503,9350,150000,0,0,0,0,0,0,0
4,2013,1093766,224400,0,0,0,0,0,0,0,0
4,2014,1204879,109855,0,0,0,0,0,0,0,0
4,2015,1175371,144630,0,0,0,0,0,0,0,0
4,2016,1139136.99,180863,0,0,0,0,0,0,0,0
4,2017,1142485.99,106947,0,0,54022,6545,10000,0,0,0
4,2018,1178300.4,6644,0,0,135055,0,0,0,0,0
5,2012,491999,828000,0,0,0,0,0,0,0,0
5,2013,413147,442000,0,0,0,400515,0,0,0,0
5,2014,963091,156800,0,0,0,200000,0,0,0,0
5,2015,1161903,158100,0,0,0,0,0,0,0,0
5,2016,1127667.99,192332,0,0,0,0,0,0,0,0
5,2017,1233736.04,81263.95,0,0,0,0,5000,0,0,0
5,2018,1114262.6,181280,0,0,0,2100,0,0,0,0
6,2012,39999,1280000,0,0,0,0,0,0,0,0
6,2013,744000,575999,0,0,0,0,0,0,0,0
